text,product_code
"tôi muốn mua chăn",sp01
"cho tôi một cái chăn",sp01
"mua chăn đi",sp01
"cần mua chăn ấm áp",sp01
"tôi muốn chăn mềm",sp01
"cho tôi gối mềm",sp02
"muốn mua gối",sp02
"gối cao su tốt",sp02
"mua gối đi",sp02
"tôi cần gối êm",sp02
"cần ga trải giường đẹp",sp03
"muốn mua ga trải giường",sp03
"ga trải giường màu trắng",sp03
"cho tôi ga trải giường",sp03
"tôi muốn ga trải giường mới",sp03
"mua chăn và gối",sp01_sp02
"tôi cần chăn, gối",sp01_sp02
"đặt mua chăn gối",sp01_sp02
"chăn và ga trải giường",sp01_sp03
"tôi cần chăn và ga",sp01_sp03
"mua chăn ga",sp01_sp03
"gối và ga trải giường",sp02_sp03
"tôi muốn gối và ga",sp02_sp03
"mua gối ga",sp02_sp03
"mua cả chăn, gối, ga",sp01_sp02_sp03
"tôi cần trọn bộ chăn ga gối",sp01_sp02_sp03
"đặt mua combo chăn ga gối",sp01_sp02_sp03
"chăn bông",sp01
"chăn mùa đông",sp01
"chăn lông",sp01
"mua chăn giá rẻ",sp01
"chăn cotton",sp01
"chăn nỉ",sp01
"chăn lụa",sp01
"gối ôm",sp02
"gối tựa lưng",sp02
"gối bông",sp02
"mua gối giá rẻ",sp02
"gối massage",sp02
"gối cao su non",sp02
"gối chống đau vai gáy",sp02
"ga trải giường 1m6",sp03
"ga trải giường 1m8",sp03
"ga trải giường cotton",sp03
"ga trải giường lụa",sp03
"mua ga trải giường giá rẻ",sp03
"ga trải giường họa tiết",sp03
"ga trải giường trơn",sp03
"chăn và gối cho bé",sp01_sp02
"bộ chăn gối",sp01_sp02
"chăn và gối mới",sp01_sp02
"gối và ga cho phòng ngủ",sp02_sp03
"bộ gối ga",sp02_sp03
"ga và chăn cho giường đôi",sp01_sp03
"bộ chăn ga",sp01_sp03
"tôi cần chăn, gối, ga",sp01_sp02_sp03
"mua trọn bộ",sp01_sp02_sp03
"đặt hàng chăn, gối, ga",sp01_sp02_sp03
"chăn siêu nhẹ",sp01
"chăn trẻ em",sp01
"gối cổ",sp02
"gối cho bà bầu",sp02
"ga trải giường king size",sp03
"ga trải giường queen size",sp03
"mua chăn một cái",sp01
"cần gối một cái",sp02
"muốn ga một cái",sp03
"chăn đẹp",sp01
"gối êm",sp02
"ga bền",sp03
"chăn cho mùa hè",sp01
"chăn cho mùa đông",sp01
"gối ngủ ngon",sp02
"gối mát",sp02
"ga trải giường chống thấm",sp03
"ga trải giường dễ giặt",sp03
"bộ chăn gối đẹp",sp01_sp02
"bộ gối ga cao cấp",sp02_sp03
"bộ chăn ga sang trọng",sp01_sp03
"bộ chăn gối ga cao cấp",sp01_sp02_sp03
"chăn màu xanh",sp01
"gối màu hồng",sp02
"ga trải giường màu xám",sp03
"chăn kẻ caro",sp01
"gối hình thú",sp02
"ga trải giường kẻ sọc",sp03
"tôi tìm chăn",sp01
"tôi tìm gối",sp02
"tôi tìm ga",sp03
"mua ngay chăn",sp01
"mua ngay gối",sp02
"mua ngay ga",sp03
"chăn tốt",sp01
"gối tốt",sp02
"ga tốt",sp03
"chăn giá tốt",sp01
"gối giá tốt",sp02
"ga giá tốt",sp03
"cần mua chăn ngay",sp01
"cần mua gối ngay",sp02
"cần mua ga ngay",sp03
"tôi muốn chăn dày",sp01
"tôi muốn gối cứng",sp02
"tôi muốn ga mỏng",sp03
"chăn cho phòng khách",sp01
"gối cho ghế sofa",sp02
"ga trải giường cho căn hộ",sp03
"chăn nhập khẩu",sp01
"gối nhập khẩu",sp02
"ga nhập khẩu",sp03
"chăn giá sỉ",sp01
"gối giá sỉ",sp02
"ga giá sỉ",sp03
"chăn khuyến mãi",sp01
"gối khuyến mãi",sp02
"ga khuyến mãi",sp03
"tìm chăn mềm mại",sp01
"tìm gối thoáng khí",sp02
"tìm ga chống nhăn",sp03
"chăn hai mặt",sp01
"gối đôi",sp02
"ga trải giường cho bé",sp03
"mua chăn quà tặng",sp01
"mua gối quà tặng",sp02
"mua ga quà tặng",sp03
"chăn khách sạn",sp01
"gối khách sạn",sp02
"ga khách sạn",sp03
"chăn văn phòng",sp01
"gối văn phòng",sp02
"chăn cao cấp",sp01
"gối cao cấp",sp02
"ga cao cấp",sp03
"chăn giảm giá",sp01
"gối giảm giá",sp02
"ga giảm giá",sp03
"chăn bán chạy",sp01
"gối bán chạy",sp02
"ga bán chạy",sp03
"chăn mới nhất",sp01
"gối mới nhất",sp02
"ga mới nhất",sp03
"chăn loại nào tốt",sp01
"gối loại nào tốt",sp02
"ga loại nào tốt",sp03
"đặt chăn online",sp01
"đặt gối online",sp02
"đặt ga online",sp03
"chăn giao hàng nhanh",sp01
"gối giao hàng nhanh",sp02
"ga giao hàng nhanh",sp03
"chăn có sẵn",sp01
"gối có sẵn",sp02
"ga có sẵn",sp03
"mua chăn với gối",sp01_sp02
"mua chăn với ga",sp01_sp03
"mua gối với ga",sp02_sp03
"mua tất cả",sp01_sp02_sp03
"cần chăn cho phòng ngủ",sp01
"cần gối cho giường",sp02
"cần ga cho giường",sp03
"chăn size lớn",sp01
"gối size lớn",sp02
"ga size lớn",sp03
"chăn size nhỏ",sp01
"gối size nhỏ",sp02
"ga size nhỏ",sp03
"chăn đơn",sp01
"gối đơn",sp02
"ga đơn",sp03
"chăn đôi",sp01
"gối đôi",sp02
"ga đôi",sp03
"chăn em bé",sp01
"gối em bé",sp02
"ga em bé",sp03
"chăn người lớn",sp01
"gối người lớn",sp02
"ga người lớn",sp03
"chăn dã ngoại",sp01
